date,market,value
2026-08-18,faridabad,22
2026-08-19,faridabad,59
2026-08-20,faridabad,91
2026-08-21,faridabad,34
2026-08-22,faridabad,41
2026-08-23,faridabad,88
2026-08-24,faridabad,77
2026-08-25,faridabad,71
2026-08-26,faridabad,49
2026-08-27,faridabad,61
2026-08-28,faridabad,23
2026-08-29,faridabad,62
2026-08-30,faridabad,7
2026-09-01,faridabad,45
2026-09-02,faridabad,19
2026-09-03,faridabad,8
2026-09-04,faridabad,2
2026-09-05,faridabad,30
2026-09-06,faridabad,88
2026-09-07,faridabad,2
2026-09-08,faridabad,71
2026-09-09,faridabad,29
2026-09-10,faridabad,15
2026-09-11,faridabad,72
2026-09-12,faridabad,65
2026-09-13,faridabad,74
2026-09-14,faridabad,30
2026-09-15,faridabad,24
2026-09-16,faridabad,21
2026-09-17,faridabad,38
2026-09-18,faridabad,36
2026-09-19,faridabad,21
2026-09-20,faridabad,84
2026-09-21,faridabad,71
2026-09-22,faridabad,42
2026-09-24,faridabad,38
2026-09-25,faridabad,8
2026-09-26,faridabad,9
